retweet_count,favorite_count,user_followers_count,date
0,0,426,2020-05-25
0,0,3218,2020-05-25
2,3,973,2020-05-25
2,0,2465,2020-05-25
0,0,2661,2020-05-25
0,0,7711,2020-05-25
0,0,563,2020-05-25
2,3,6745,2020-05-25
5,19,37533,2020-03-14
0,0,278,2020-03-15
46,308,16367,2020-03-09
0,0,13436,2020-03-09
0,0,2532,2020-03-27
0,0,720,2020-03-09
1,1,201,2020-03-15
0,1,109,2020-03-09
0,0,1084,2020-03-14
0,3,1618,2020-03-18
0,1,7766,2020-03-15
2,6,43515,2020-05-21
0,0,631,2020-03-12
0,3,13315,2020-03-09
1,3,2383,2020-05-23
0,1,13,2020-03-19
0,2,27875,2020-03-17
0,0,5386,2020-03-11
9,10,13260,2020-03-22
0,0,55,2020-03-18
0,0,332,2020-03-15
0,0,586,2020-05-25
0,0,366,2020-03-15
3,8,251492,2020-03-14
0,0,36,2020-03-09
6,15,2228,2020-03-09
0,1,439,2020-03-09
0,0,5628,2020-05-24
0,1,2390,2020-05-25
0,1,907,2020-05-25
0,0,896,2020-03-16
0,3,1901,2020-03-17
2,5,746665,2020-05-22
2,3,18696,2020-03-18
0,2,2263,2020-03-28
0,2,370,2020-03-09
131,218,23454518,2020-03-14
0,0,1793,2020-03-09
0,1,3548,2020-05-21
0,0,3298,2020-05-25
0,0,1480,2020-03-09
0,1,891,2020-05-22
9,17,2220,2020-03-09
0,0,276,2020-05-21
11,11,340620,2020-03-21
0,1,843,2020-05-25
2,1,156,2020-03-14
1,5,1854,2020-03-09
1,0,27071,2020-03-09
11696,9241,8688,2020-03-05
69013,242977,4935,2020-03-20
56329,147181,6663,2020-03-21
39627,132832,3681,2020-03-20
44479,32331,148,2020-03-23
29350,43888,1274,2020-03-20
42783,118928,3035,2020-03-20
4624,5560,811860,2020-03-21
63401,69421,0,2020-03-21
1374,3157,375961,2020-03-24
35970,148158,604,2020-03-20
12418,35530,999,2020-03-04
6292,4833,10015,2020-03-06
47251,66171,6531,2020-03-22
190319,382678,7586,2020-03-01
31001,36276,329,2020-03-20
30589,24749,372,2020-03-22
2730,25101,885345,2020-03-06
307314,1410238,26106,2020-03-19
23179,127950,2508,2020-03-22
4390,28369,18842147,2020-03-06
34992,29598,123,2020-03-19
2132,7701,146,2020-03-05
42732,229512,851,2020-03-19
46353,325908,7327,2020-03-23
1968,5761,5074574,2020-03-24
1786,10691,736566,2020-03-06
10183,15285,14546,2020-03-05
148298,623639,2798,2020-03-19
34704,202638,112227,2020-03-20
101434,519753,2304,2020-03-21
39194,290762,4454,2020-03-14
1748,3762,714651,2020-03-06
69288,158738,6663,2020-03-22
172894,797340,865,2020-03-19
61808,207629,223,2020-03-19
3126,4276,156639,2020-03-19
67463,132166,214296,2020-03-24
1083,4121,1671366,2020-03-22
79300,279048,2698,2020-03-23
75195,257655,8016,2020-03-21
1166,5026,36227,2020-03-23
2362,7417,7229,2020-03-05
8217,28602,751401,2020-03-06
46949,199465,885,2020-03-18
90523,334826,9825,2020-03-24
2386,6804,1634336,2020-03-06
10023,33485,3447,2020-03-05
34379,244053,3148,2020-03-19
1665,9445,154,2020-03-06
891,1516,47,2020-03-20
2152,8353,26124958,2020-03-20
40257,279924,11793,2020-03-19
9398,42189,10475,2020-03-19
21282,73011,472777,2020-03-24
6820,20167,14956,2020-03-05
42308,94786,264,2020-03-22
36330,128101,1081,2020-03-18
84738,360513,3727,2020-03-21
41534,131489,861,2020-03-20
76351,146640,271,2020-03-22
38329,122246,4989,2020-03-24
80093,370034,71997,2020-03-21
172964,900045,4290,2020-03-20
5580,28273,1030707,2020-03-06
111669,457872,2883,2020-03-22
2999,6295,125530,2020-03-05
143228,346262,1198,2020-03-20
2971,8270,1634336,2020-03-06
40560,172415,332,2020-03-21
1513,3752,101306,2020-03-21
2800,6572,100375,2020-03-06
6376,13529,87308,2020-03-05
28100,62072,1393,2020-03-05
1859,1295,3712,2020-03-20
24024,149550,885345,2020-03-04
4667,10949,194,2020-03-04
531,971,2060,2020-03-23
22950,177722,7931902,2020-03-23
33222,82359,5292927,2020-03-23
2358,5826,3670703,2020-03-05
2939,5649,1331,2020-03-07
2703,8532,67,2020-03-07
