date,replies_count,retweets_count,likes_count
2020-05-10,19,68,175
2020-05-10,18,45,215
2020-05-10,31,57,294
2020-05-10,147,141,535
2020-05-10,13,29,93
2020-05-09,18,71,434
2020-05-09,8,29,252
2020-05-09,5,29,181
2020-05-09,4,39,263
2020-05-09,5,16,136
2020-05-09,3,24,150
2020-05-09,5,21,155
2020-05-09,35,161,695
2020-05-09,4,33,207
2020-05-09,22,62,259
2020-05-09,32,75,291
2020-05-09,11,34,67
2020-05-08,25,27,204
2020-05-08,2,12,115
2020-05-08,1,12,106
2020-05-08,1,13,105
2020-05-08,2,20,125
2020-05-08,1,11,92
2020-05-08,2,22,107
2020-05-08,2,13,117
2020-05-08,1,10,100
2020-05-08,2,15,111
2020-05-08,53,155,500
2020-05-08,6,27,163
2020-05-08,7,49,207
2020-05-08,7,12,42
2020-05-08,6,24,60
2020-05-08,8,50,198
2020-05-08,18,69,254
2020-05-08,21,70,156
2020-05-08,13,67,128
2020-05-08,10,28,61
2020-05-07,8,66,306
2020-05-07,29,134,570
2020-05-07,0,14,84
2020-05-07,1,14,75
2020-05-07,3,16,49
2020-05-07,11,46,200
2020-05-07,25,75,291
2020-05-07,8,137,155
2020-05-07,3,29,68
2020-05-06,6,39,189
2020-05-06,22,90,315
2020-05-06,3,11,70
2020-05-06,2,12,49
2020-05-06,1,10,57
2020-05-06,3,7,49
2020-05-06,8,59,171
2020-05-06,6,18,181
2020-05-06,2,9,104
2020-05-06,2,9,58
2020-05-06,1,8,64
2020-05-06,1,11,67
2020-05-06,1,11,72
2020-05-06,18,88,470
2020-05-06,23,85,324
2020-05-06,6,48,67
2020-05-05,23,34,452
2020-05-05,24,50,201
2020-05-05,4,31,121
2020-05-05,2,26,113
2020-05-05,10,61,213
2020-05-05,11,66,525
2020-05-05,2,59,133
2020-05-05,21,59,242
2020-05-05,7,51,151
2020-05-05,55,630,1562
2020-05-05,6,45,69
2020-05-04,19,100,515
2020-05-04,22,103,513
2020-05-04,12,58,298
2020-05-04,4,32,196
2020-05-04,3,22,183
2020-05-04,2,25,185
2020-05-04,6,29,192
2020-05-04,8,27,251
2020-05-04,38,199,931
2020-05-04,9,30,126
2020-05-04,14,67,207
2020-05-04,26,75,330
2020-05-04,13,44,95
2020-05-03,29,87,980
2020-05-03,6,39,550
2020-05-03,7,37,458
2020-05-03,1,34,360
2020-05-03,1,29,374
2020-05-03,1,35,434
2020-05-03,2,53,482
2020-05-03,80,301,1687
2020-05-03,15,77,328
2020-05-03,22,110,474
2020-05-03,31,89,394
2020-05-03,21,125,170
2020-05-02,6,65,363
2020-05-02,39,170,562
2020-05-02,33,86,414
2020-05-02,31,151,207
2020-05-02,11,34,98
2020-05-01,3,11,119
2020-05-01,2,9,123
2020-05-01,2,9,103
2020-05-01,2,8,102
2020-05-01,24,102,646
2020-05-01,6,10,123
2020-05-01,2,10,120
2020-05-01,7,88,423
2020-05-01,11,25,74
2020-05-01,9,35,108
2020-05-01,46,224,1199
2020-05-01,31,66,313
2020-05-01,11,27,127
2020-05-01,12,48,90
2020-04-30,12,41,377
2020-04-30,4,31,323
2020-04-30,2,32,261
2020-04-30,2,32,238
2020-04-30,2,26,198
2020-04-30,2,16,163
2020-04-30,1,16,185
2020-04-30,34,208,1541
2020-04-30,15,45,234
2020-04-30,23,122,771
2020-04-30,7,74,395
2020-04-30,6,54,333
2020-04-30,8,55,272
2020-04-30,40,217,808
2020-04-30,16,107,330
2020-04-30,27,109,507
2020-04-30,32,85,157
2020-04-29,46,134,738
2020-04-29,18,50,194
2020-04-29,12,47,177
2020-04-29,4,37,176
2020-04-29,2,31,125
2020-04-29,20,171,598
2020-04-29,17,29,152
2020-04-29,3,20,106
2020-04-29,2,12,57
2020-04-29,2,15,62
2020-04-29,1,20,65
2020-04-29,3,19,66
2020-04-29,1,16,61
2020-04-29,2,17,69
2020-04-29,3,23,82
2020-04-29,2,21,89
2020-04-29,13,72,232
2020-04-29,69,95,356
2020-04-29,26,91,143
2020-04-29,18,35,70
2020-04-28,18,37,145
2020-04-28,19,50,326
2020-04-28,13,61,302
2020-04-28,5,32,232
2020-04-28,3,79,415
2020-04-28,3,41,242
2020-04-28,2,27,181
2020-04-28,2,25,130
2020-04-28,2,25,118
2020-04-28,5,24,137
2020-04-28,51,207,785
2020-04-28,21,42,192
2020-04-28,3,30,124
2020-04-28,6,41,114
2020-04-28,2,28,98
2020-04-28,6,22,93
2020-04-28,54,142,473
2020-04-28,29,71,125
2020-04-27,44,78,351
2020-04-27,11,29,348
2020-04-27,19,37,251
2020-04-27,2,30,187
2020-04-27,2,42,204
2020-04-27,2,32,166
2020-04-27,2,34,167
2020-04-27,2,33,211
2020-04-27,35,208,629
2020-04-27,82,303,1189
2020-04-27,20,109,209
2020-04-26,64,164,848
2020-04-26,17,64,325
2020-04-26,64,124,584
2020-04-26,12,77,292
2020-04-26,5,49,213
2020-04-26,59,379,1480
2020-04-25,35,63,146
2020-04-25,31,84,513
2020-04-25,21,52,351
2020-04-25,5,71,296
2020-04-25,5,43,222
2020-04-25,39,207,767
2020-04-25,10,30,171
2020-04-25,32,90,407
2020-04-25,382,447,1090
2020-04-25,6,47,333
2020-04-25,27,114,721
2020-04-24,27,79,194
2020-04-24,67,128,812
2020-04-24,35,97,743
2020-04-24,2,37,235
2020-04-24,2,33,237
2020-04-24,1,37,244
2020-04-24,12,55,415
2020-04-24,73,220,1212
2020-04-24,21,60,294
2020-04-24,5,21,72
2020-04-24,8,35,96
2020-04-23,55,95,241
2020-04-23,38,47,510
2020-04-23,5,45,365
2020-04-23,3,38,271
2020-04-23,3,44,293
2020-04-23,1,34,274
2020-04-23,1,35,262
2020-04-23,2,40,274
2020-04-23,6,55,413
2020-04-23,87,364,1588
2020-04-22,33,74,160
2020-04-22,52,156,754
2020-04-22,21,190,810
2020-04-22,5,17,91
2020-04-22,3,16,96
2020-04-22,3,16,80
2020-04-22,1,14,78
2020-04-22,4,76,434
2020-04-22,19,75,444
2020-04-22,5,53,297
2020-04-22,7,44,231
2020-04-22,4,48,225
2020-04-22,71,358,1475
2020-04-21,30,64,133
2020-04-21,41,96,526
2020-04-21,16,75,475
2020-04-21,4,90,406
2020-04-21,3,55,299
2020-04-21,3,42,260
2020-04-21,1,42,271
2020-04-21,3,64,347
2020-04-21,3,37,251
2020-04-21,53,344,1164
2020-04-21,25,151,445
2020-04-20,29,77,148
2020-04-20,30,103,666
2020-04-20,7,31,290
2020-04-20,4,37,259
2020-04-20,1,29,259
2020-04-20,1,44,298
2020-04-20,5,52,336
2020-04-20,7,58,300
2020-04-20,4,63,337
2020-04-20,51,307,1360
2020-04-19,38,124,245
2020-04-19,66,203,1006
2020-04-18,82,140,275
2020-04-18,22,106,475
2020-04-18,6,79,372
2020-04-18,38,188,625
2020-04-18,70,239,1225
2020-04-17,26,153,519
2020-04-17,15,93,352
2020-04-17,1,49,172
2020-04-17,2,47,177
2020-04-17,42,189,502
2020-04-17,15,103,179
2020-04-17,37,118,416
2020-04-17,37,128,677
2020-04-17,5,59,336
2020-04-17,3,34,209
2020-04-17,1,38,234
2020-04-17,3,41,221
2020-04-17,1,37,229
2020-04-17,53,282,981
2020-04-17,37,68,240
2020-04-17,19,85,126
2020-04-16,36,109,197
2020-04-16,50,130,548
2020-04-16,3,66,274
2020-04-16,3,67,313
2020-04-16,14,130,509
2020-04-16,5,64,233
2020-04-16,5,50,273
2020-04-16,49,328,1336
2020-04-16,39,85,213
2020-04-15,74,182,349
2020-04-15,20,85,153
2020-04-15,6,52,274
2020-04-15,4,58,231
2020-04-15,4,29,153
2020-04-15,55,247,640
2020-04-15,39,161,619
2020-04-15,30,104,604
2020-04-15,5,41,252
2020-04-15,3,70,313
2020-04-15,4,152,539
2020-04-15,1,126,474
2020-04-15,15,117,476
2020-04-15,4,50,191
