retweet_count,favorite_count,user_followers_count,date
12,18,77655,2020-04-24
2,6,8651,2020-03-26
174,0,7470,2020-04-01
394,0,7470,2020-04-09
17,14,1328359,2020-04-26
19,56,45459,2020-03-12
15,17,34158,2020-04-06
11,11,2032861,2020-04-23
15,12,34158,2020-03-10
499,0,25835,2020-03-27
133,0,263,2020-04-22
2,12,19164,2020-03-26
2,5,68966,2020-04-22
29,95,108424,2020-05-04
58,0,378858,2020-05-12
352,396,3127760,2020-03-29
1164,0,230,2020-03-05
7,12,2032861,2020-05-11
118,0,7470,2020-03-06
1299,0,52475,2020-03-11
4,4,8651,2020-03-23
4,8,378858,2020-05-15
26,34,183783,2020-03-07
68,106,694204,2020-03-18
1,1,5053,2020-03-09
117,0,485512,2020-05-04
11,25,293623,2020-03-17
1,2,60058,2020-05-11
541,485,708489,2020-03-18
146,0,25835,2020-03-04
19,19,60058,2020-03-27
63,125,834276,2020-03-19
1,3,60058,2020-04-19
14,10,19164,2020-05-21
122,0,205,2020-03-01
1,5,68966,2020-04-30
2,0,25835,2020-05-20
4,8,39508,2020-04-01
48,0,7470,2020-05-12
0,0,67,2020-03-12
22,50,108424,2020-03-05
29,30,60058,2020-03-04
0,0,94847,2020-04-28
1,1,68966,2020-05-16
0,0,967,2020-03-25
48,0,2484148,2020-04-15
6,0,19164,2020-04-17
30,70,144497,2020-05-04
12,13,91616,2020-04-28
0,1,108424,2020-03-07
38,126,2484148,2020-04-29
10,0,91616,2020-04-22
3,5,19164,2020-03-09
6,23,3127760,2020-04-02
1,3,8651,2020-03-28
218,0,7470,2020-03-17
2,4,60058,2020-05-20
61,0,378858,2020-05-25
0,0,94847,2020-04-29
21,0,91616,2020-04-12
100,166,45459,2020-05-23
35,44,1328359,2020-05-24
61,0,378858,2020-05-12
144,377,2484148,2020-04-28
29,72,3127760,2020-04-07
139,370,2484148,2020-04-02
2,3,60058,2020-05-21
11,13,2032861,2020-03-27
3,3,18123,2020-05-11
154,429,2484148,2020-05-01
50,0,378858,2020-04-29
1,6,68966,2020-03-22
2,8,91616,2020-03-03
11,16,45459,2020-05-13
217,0,378858,2020-03-23
3,3,60058,2020-04-12
2,6,60058,2020-04-30
96,0,378858,2020-04-22
0,3,68966,2020-03-17
10,11,694204,2020-04-23
176,220,3127760,2020-04-30
10,10,77655,2020-04-11
4,17,68966,2020-05-16
41,38,34158,2020-03-12
80,54,94847,2020-03-23
1,0,7470,2020-03-18
0,0,1475,2020-04-15
4,5,4736,2020-03-05
98,146,3127760,2020-03-25
4,9,60058,2020-04-21
99,0,39508,2020-04-23
2,9,13497,2020-04-12
143,336,2484148,2020-05-11
21,0,2484148,2020-05-22
8,21,94847,2020-04-03
1,3,68966,2020-03-25
34,64,708488,2020-04-29
2,0,312,2020-03-01
3,3,60058,2020-04-21
54,0,77655,2020-05-07
46,61,3127760,2020-03-06
3,17,694204,2020-05-06
0,3,191,2020-04-30
19,0,52475,2020-04-28
18,34,19170,2020-05-11
17,20,144497,2020-04-04
0,0,156,2020-03-03
1,5,4052,2020-04-26
18,45,1328359,2020-05-15
540,0,2825,2020-05-05
1,3,18123,2020-03-17
708,812,1328359,2020-04-28
58,109,694204,2020-04-20
85,0,39508,2020-03-28
58,189,2484148,2020-05-17
17,12,60058,2020-03-13
17,34,144497,2020-04-05
29,66,3127760,2020-03-26
194,177,108424,2020-03-18
64,55,91616,2020-04-04
14,13,2032861,2020-05-07
115,0,855,2020-03-06
22,32,1328359,2020-04-28
25,28,378858,2020-05-21
232,0,5083,2020-04-07
16,36,3127760,2020-03-04
23,41,834276,2020-05-25
58,112,52475,2020-04-13
0,1,11887,2020-03-01
2,5,60058,2020-05-04
0,0,223,2020-03-10
70,133,834276,2020-05-02
136,120,108424,2020-04-29
1,0,68966,2020-04-09
34,77,3127760,2020-05-09
8,5,2825,2020-03-29
31,25,52475,2020-05-16
1962,0,132,2020-03-25
0,1,41,2020-04-05
15,25,2032861,2020-05-02
17,55,2484148,2020-05-11
45,0,39508,2020-05-11
8,16,91616,2020-04-15
48,58,45459,2020-03-10
64,87,1328359,2020-05-13
5,10,68966,2020-03-26
5,22,694204,2020-04-09
1,3,60058,2020-05-25
189,285,144497,2020-05-17
19,23,45459,2020-03-30
15,0,482,2020-04-09
10,0,485512,2020-04-29
20,27,45459,2020-04-02
11,36,68093,2020-03-19
0,0,19164,2020-03-11
314,0,91616,2020-05-13
171,0,25835,2020-05-20
2,4,25835,2020-05-08
482,0,161,2020-03-18
40,50,34158,2020-03-31
106,0,378858,2020-04-09
34,34,2032861,2020-04-10
138,393,2484148,2020-04-12
21,53,2032861,2020-04-20
1314,0,708488,2020-04-16
236,401,1083476,2020-03-22
83,0,7470,2020-04-07
3,11,144497,2020-05-23
24,0,2484148,2020-05-11
33,51,3127760,2020-04-07
0,1,240,2020-03-02
46,53,2032861,2020-05-24
2,0,18680,2020-04-29
4,11,68966,2020-05-08
372,0,2484148,2020-04-04
21,25,201223,2020-05-11
6,9,1328359,2020-05-08
2,7,60058,2020-04-29
45,56,201223,2020-04-08
0,0,11,2020-03-03
3,9,68966,2020-04-19
10,15,68966,2020-04-20
2092,0,1083476,2020-04-15
8,10,39508,2020-05-09
0,3,60058,2020-05-06
20,31,293623,2020-05-11
0,0,748,2020-05-23
4,9,144497,2020-05-23
3816,0,25835,2020-05-23
4,11,68966,2020-05-06
18,35,1328359,2020-05-21
0,3,60058,2020-04-13
16,28,694204,2020-03-11
8,7,60058,2020-05-17
3,5,60058,2020-04-04
30,0,834276,2020-05-20
47,167,2484148,2020-04-19
151,180,191313,2020-03-21
1382,0,515,2020-04-04
6,10,19164,2020-03-12
49,73,3127760,2020-04-03
5,3,60058,2020-04-30
532,0,25835,2020-04-09
26,0,91616,2020-03-20
1,1,60058,2020-04-16
6,37,3127760,2020-04-07
7,8,19164,2020-04-24
9,7,13497,2020-03-30
1,0,1098,2020-03-04
723,0,39508,2020-05-13
27,38,293623,2020-04-22
705,0,6438,2020-03-17
20,0,18123,2020-03-16
385,0,1083476,2020-05-06
2,3,68966,2020-03-22
105,84,91616,2020-03-27
481,0,39508,2020-03-14
16,53,52475,2020-04-13
3,5,8651,2020-04-02
10,34,293623,2020-03-30
16,19,77655,2020-03-27
64,75,3127760,2020-04-05
38,40,91616,2020-05-11
88,127,144497,2020-04-07
4,7,86630,2020-03-10
21,0,2484148,2020-05-04
1,6,60058,2020-04-30
4,9,68966,2020-05-04
54,55,2032861,2020-03-11
942,2790,2484148,2020-04-03
97,621,708488,2020-04-06
28,0,39508,2020-05-07
4,0,18680,2020-05-13
106,95,378858,2020-03-25
2,7,68966,2020-04-08
4,0,8651,2020-05-19
5,10,68966,2020-04-23
145,0,2484148,2020-05-17
10,9,144497,2020-05-22
11,17,144497,2020-04-24
2,19,694204,2020-05-05
62,93,144497,2020-05-18
0,7,68966,2020-03-17
76,153,834276,2020-04-06
1342,0,708488,2020-03-16
23,0,7470,2020-05-14
7,21,3127760,2020-04-30
12,0,3776,2020-04-08
9,14,45459,2020-03-31
24,45,2484148,2020-03-13
1,4,68966,2020-03-02
26,47,2032861,2020-04-21
1,4,68966,2020-05-22
17,24,108424,2020-04-15
26,78,2484148,2020-05-12
60,0,378858,2020-03-04
26,29,77655,2020-05-09
222,321,1328359,2020-04-29
6,9,68966,2020-03-27
