id,conversation_id,p,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1392485020237926402,1392485020237926402,2021-05-12 10:21:14 Eastern Daylight Time,2021-05-12,10:21:14,-0400,19091173,scrowder,Steven Crowder,,YouTube Suspends LWC AGAIN! Applies Second Hard Strike on Channel  https://t.co/4nqREWTpbS,en,[],['https://www.louderwithcrowder.com/youtube-suspends-lwc-again-applies-second-hard-strike-on-channel'],[],389,524,3352,[],[],https://twitter.com/scrowder/status/1392485020237926402,False,,0,,,,,,,,[],,,,
1392118554397339651,1392118554397339651,2021-05-11 10:05:02 Eastern Daylight Time,2021-05-11,10:05:02,-0400,19091173,scrowder,Steven Crowder,,You may be wondering where that episode is. You're in good company. If only faster upload speeds were human rights.  https://t.co/VXf8Gt7ZaY,en,[],[],['https://pbs.twimg.com/media/E1HMOSaVEAoIBSk.jpg'],193,114,2677,[],[],https://twitter.com/scrowder/status/1392118554397339651,False,,1,https://pbs.twimg.com/media/E1HMOSaVEAoIBSk.jpg,,,,,,,[],,,,
1391820311251800066,1391820255392149519,2021-05-10 14:19:55 Eastern Daylight Time,2021-05-10,14:19:55,-0400,19091173,scrowder,Steven Crowder,, https://t.co/Q6JE932eus,und,[],[],['https://pbs.twimg.com/media/E1C9MHnX0AsyJ_R.png'],71,875,7626,[],[],https://twitter.com/scrowder/status/1391820311251800066,False,,1,https://pbs.twimg.com/media/E1C9MHnX0AsyJ_R.png,,,,,,,[],,,,
1391820255392149519,1391820255392149519,2021-05-10 14:19:42 Eastern Daylight Time,2021-05-10,14:19:42,-0400,19091173,scrowder,Steven Crowder,,Fact check: FALSE!,en,[],[],[],221,1384,10076,[],[],https://twitter.com/scrowder/status/1391820255392149519,False,https://twitter.com/POTUS/status/1391812721478406144,0,,,,,,,,[],,,,
1391768204217917445,1391768204217917445,2021-05-10 10:52:52 Eastern Daylight Time,2021-05-10,10:52:52,-0400,19091173,scrowder,Steven Crowder,,POLL: Who wore the pants in the Gates relationship?,en,[],[],[],72,125,643,[],[],https://twitter.com/scrowder/status/1391768204217917445,False,,0,,,,,,,,[],,,,
1391762493953900553,1391762493953900553,2021-05-10 10:30:10 Eastern Daylight Time,2021-05-10,10:30:10,-0400,19091173,scrowder,Steven Crowder,,When was the last time SNL was anything other than terrible?,en,[],[],[],1878,673,13725,[],[],https://twitter.com/scrowder/status/1391762493953900553,False,,0,,,,,,,,[],,,,
1391756859795808262,1391756859795808262,2021-05-10 10:07:47 Eastern Daylight Time,2021-05-10,10:07:47,-0400,19091173,scrowder,Steven Crowder,,POLL: How do YOU think Elon Musk did on SNL?,en,[],[],[],133,56,453,[],[],https://twitter.com/scrowder/status/1391756859795808262,False,,0,,,,,,,,[],,,,
1391132109125861388,1391132109125861388,2021-05-08 16:45:15 Eastern Daylight Time,2021-05-08,16:45:15,-0400,19091173,scrowder,Steven Crowder,,I’m sorry to hear it. Dogs bring out the best in us. Prayers for you and the family.,en,[],[],[],284,544,14530,[],[],https://twitter.com/scrowder/status/1391132109125861388,False,https://twitter.com/BarackObama/status/1391106025269440516,0,,,,,,,,[],,,,
1390390961625198593,1390390961625198593,2021-05-06 15:40:12 Eastern Daylight Time,2021-05-06,15:40:12,-0400,19091173,scrowder,Steven Crowder,,Need something for #MothersDay? Head to the Crowdershop!  https://t.co/kpScBYUsP3,en,[],['https://crowdershop.com/shop-all/mothers-day/'],[],76,40,456,['mothersday'],[],https://twitter.com/scrowder/status/1390390961625198593,False,,0,,,,,,,,[],,,,
1390319910358761481,1390319910358761481,2021-05-06 10:57:52 Eastern Daylight Time,2021-05-06,10:57:52,-0400,19091173,scrowder,Steven Crowder,,Why do YOU think Democrats want DC to be a state? Answer in .gifs only.,en,[],[],[],5406,502,8159,[],[],https://twitter.com/scrowder/status/1390319910358761481,False,,0,,,,,,,,[],,,,
1390311648976523264,1390311648976523264,2021-05-06 10:25:02 Eastern Daylight Time,2021-05-06,10:25:02,-0400,19091173,scrowder,Steven Crowder,,"We're live, talking about Caitlyn Jenner, hate crimes against Asians, and DC statehood!",en,[],[],[],62,66,1407,[],[],https://twitter.com/scrowder/status/1390311648976523264,False,,0,,,,,,,,[],,,,
1390083637022846978,1390083637022846978,2021-05-05 19:19:00 Eastern Daylight Time,2021-05-05,19:19:00,-0400,19091173,scrowder,Steven Crowder,,"""The other side loves it when conservatives make it about politeness and decorum. But they're playing a bloodsport and we're playing tee-ball."" - @DonaldJTrumpJr held NOTHING BACK!  https://t.co/ajhPPs0seZ",en,"[{'screen_name': 'donaldjtrumpjr', 'name': 'donald trump jr.', 'id': '39344374'}]",[],[],81,208,1198,[],[],https://twitter.com/scrowder/status/1390083637022846978,False,,1,https://pbs.twimg.com/amplify_video_thumb/1389967867731447813/img/jf1EGkfCO-IxouR7.jpg,,,,,,,[],,,,
1390069625602387971,1390069625602387971,2021-05-05 18:23:19 Eastern Daylight Time,2021-05-05,18:23:19,-0400,19091173,scrowder,Steven Crowder,,The fascist mob you’ve created will someday come for you. It’s a cycle as old as time.  The thirst for censorship and control is never quenched.,en,[],[],[],281,520,4153,[],[],https://twitter.com/scrowder/status/1390069625602387971,False,https://twitter.com/mmpadellan/status/1390024670120919040,0,,,,,,,,[],,,,
1390052683160055810,1390052683160055810,2021-05-05 17:16:00 Eastern Daylight Time,2021-05-05,17:16:00,-0400,19091173,scrowder,Steven Crowder,,"""Hunter Biden's an addict but he's also a piece of garbage. Being an addict doesn't absolve you from all the billions of things you did that are terrible!"" - @DonaldJTrumpJr lights up Hunter like Hunter lights parmesan cheese.  https://t.co/1jj7hs8iUG",en,"[{'screen_name': 'donaldjtrumpjr', 'name': 'donald trump jr.', 'id': '39344374'}]",[],[],97,290,2035,[],[],https://twitter.com/scrowder/status/1390052683160055810,False,,1,https://pbs.twimg.com/amplify_video_thumb/1389972890158776323/img/X1qRpdbg7WJCz0Vc.jpg,,,,,,,[],,,,
